SA1_MAINCODE_2016,SA1_7DIG16,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,point,OFFICE TYPE,SITE NAME,ALTERNATIVE NAME,ADDRESS,SUBURB,STATE,POSTCODE,Open,Close,Closed for lunch/Office Notes,distance,Y,X,Y1,X1,traveltime,ptile,start,end,duration,walkTime,transitTime,waitingTime,transfers,value
80101100101,8100101,801011001,81001,Aranda,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,0.3691,1,Centrelink Customer Service Centre,Belconnen,NA,"Level 1, Northpoint Plaza, 8 Chandler Street",Belconnen,ACT,2617,8:30:00,16:30:00,No,2055.655924,-35.25420296,149.0793862,-35.23784,149.06879,1108,2,2019-08-15T07:30:18Z,2019-08-15T07:48:46Z,18.47,11.43,7,0.03,0,NA
80101100102,8100102,801011001,81001,Aranda,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,0.2487,1,Centrelink Customer Service Centre,Belconnen,NA,"Level 1, Northpoint Plaza, 8 Chandler Street",Belconnen,ACT,2617,8:30:00,16:30:00,No,2542.426294,-35.25628719,149.0853634,-35.23784,149.06879,1213,2,2019-08-15T07:28:33Z,2019-08-15T07:48:46Z,20.22,12.18,8,0.03,0,NA
80101100103,8100103,801011001,81001,Aranda,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,0.1498,1,Centrelink Customer Service Centre,Belconnen,NA,"Level 1, Northpoint Plaza, 8 Chandler Street",Belconnen,ACT,2617,8:30:00,16:30:00,No,2213.02021,-35.25712944,149.0749818,-35.23784,149.06879,1714,4,2019-08-15T07:28:51Z,2019-08-15T07:48:46Z,19.92,12.88,7,0.03,0,NA
80101100104,8100104,801011001,81001,Aranda,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,0.2989,1,Centrelink Customer Service Centre,Belconnen,NA,"Level 1, Northpoint Plaza, 8 Chandler Street",Belconnen,ACT,2617,8:30:00,16:30:00,No,2998.768032,-35.26194125,149.0837059,-35.23784,149.06879,2073,5,2019-08-15T07:31:13Z,2019-08-15T08:07:46Z,36.55,10.52,26,0.03,0,NA
80101100105,8100105,801011001,81001,Aranda,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,0.2633,1,Centrelink Customer Service Centre,Belconnen,NA,"Level 1, Northpoint Plaza, 8 Chandler Street",Belconnen,ACT,2617,8:30:00,16:30:00,No,2755.952696,-35.26170665,149.0771866,-35.23784,149.06879,1736,4,2019-08-15T07:36:50Z,2019-08-15T08:07:46Z,30.93,7.9,23,0.03,0,NA
80101100106,8100106,801011001,81001,Aranda,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,0.2333,1,Centrelink Customer Service Centre,Belconnen,NA,"Level 1, Northpoint Plaza, 8 Chandler Street",Belconnen,ACT,2617,8:30:00,16:30:00,No,2474.925497,-35.25830571,149.0796102,-35.23784,149.06879,1924,5,2019-08-15T07:33:42Z,2019-08-15T08:07:46Z,34.07,9.03,25,0.03,0,NA
80101100201,8100201,801011002,81002,Belconnen,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,0.1095,1,Centrelink Customer Service Centre,Belconnen,NA,"Level 1, Northpoint Plaza, 8 Chandler Street",Belconnen,ACT,2617,8:30:00,16:30:00,No,816.3997487,-35.24518849,149.0692599,-35.23784,149.06879,755,1,2019-08-15T07:28:11Z,2019-08-15T07:40:46Z,12.58,9.55,3,0.03,0,NA
80101100202,8100202,801011002,81002,Belconnen,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,0.1605,1,Centrelink Customer Service Centre,Belconnen,NA,"Level 1, Northpoint Plaza, 8 Chandler Street",Belconnen,ACT,2617,8:30:00,16:30:00,No,1194.504163,-35.24829529,149.0719232,-35.23784,149.06879,785,1,2019-08-15T07:27:41Z,2019-08-15T07:40:46Z,13.08,8.05,5,0.03,0,NA
80101100203,8100203,801011002,81002,Belconnen,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,0.0507,1,Centrelink Customer Service Centre,Belconnen,NA,"Level 1, Northpoint Plaza, 8 Chandler Street",Belconnen,ACT,2617,8:30:00,16:30:00,No,552.4765049,-35.23468553,149.0640936,-35.23784,149.06879,610,1,2019-08-15T07:27:08Z,2019-08-15T07:37:18Z,10.17,10.17,0,0,0,NA
80101100204,8100204,801011002,81002,Belconnen,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.0798,1,Centrelink Customer Service Centre,Belconnen,NA,"Level 1, Northpoint Plaza, 8 Chandler Street",Belconnen,ACT,2617,8:30:00,16:30:00,No,660.7037811,-35.2410464,149.0626732,-35.23784,149.06879,659,1,2019-08-15T07:28:15Z,2019-08-15T07:39:46Z,11.52,9.48,2,0.03,0,NA
