SA1_MAINCODE_2016,Area (sq km),Nearest Centrelink office,Distance (km),Total travel time (min),Travel time decile
10102100701,362.8727,Goulburn,45120.89542,56.3,10
10102100702,229.7459,Batemans Bay,45723.69471,53.4,10
10102100703,2.391,Batemans Bay,46354.28815,55.2,10
10102100704,1.2816,Batemans Bay,45457.31132,52.5,10
10102100705,1.1978,Batemans Bay,45041.04783,52.5,10
10102100706,63.3894,Batemans Bay,42556.63695,67.5,10
10102100707,442.7713,Batemans Bay,32862.70914,62.9,10
10102100708,1137.7239,Queanbeyan,51117.15952,77.4,10
10102100709,350.9881,Goulburn,57261.33985,53.4,10
10102100710,825.9908,Batemans Bay,52604.50851,78.7,10
10102100801,0.1435,Queanbeyan,2575.440158,6.7,3
10102100802,0.3,Queanbeyan,1926.642581,5.6,2
10102100803,0.1309,Queanbeyan,1879.331265,6.4,2
10102100804,0.2218,Queanbeyan,1933.30925,6.1,2
10102100805,0.0978,Queanbeyan,2160.904913,6.7,3
10102100806,0.1358,Queanbeyan,2355.559699,8.2,4
10102100807,0.2451,Queanbeyan,1819.963706,6.2,2
10102100808,0.1538,Queanbeyan,1973.840978,6.6,3
10102100809,3.2796,Queanbeyan,3417.858632,7.5,3
10102100810,0.0931,Queanbeyan,2597.911367,8.4,4
10102100811,0.1627,Queanbeyan,1415.780572,5.5,2
10102100812,0.1109,Queanbeyan,2952.4381,8.8,4
10102100813,0.2157,Queanbeyan,2769.381961,8.5,4
10102100814,0.2984,Queanbeyan,2635.198404,7.7,3
10102100815,0.1426,Queanbeyan,1548.877273,5.8,2
10102100816,0.3033,Queanbeyan,1436.077005,5.7,2
10102100817,0.1242,Queanbeyan,1275.618149,5.3,2
10102100818,0.1076,Queanbeyan,1569.558155,5.1,2
10102100819,0.1626,Queanbeyan,2845.985072,6.9,3
10102100820,0.1713,Queanbeyan,2400.249248,7.2,3
10102100821,0.1624,Queanbeyan,2648.805063,8.6,4
10102100822,0.1207,Queanbeyan,2810.201659,8.3,4
10102100823,0.0987,Queanbeyan,2299.332219,7.1,3
10102100901,0.1001,Queanbeyan,713.3381895,3.1,1
10102100902,0.1352,Queanbeyan,1223.608335,4.1,1
10102100904,0.1383,Queanbeyan,1509.395266,5.3,2
10102100905,0.267,Queanbeyan,1178.984292,5,2
10102100907,0.1637,Queanbeyan,1149.580809,4.5,1
10102100908,0.1584,Queanbeyan,1287.696245,3.7,1
10102100909,0.0908,Queanbeyan,1586.817714,3.2,1
10102100910,0.1045,Queanbeyan,1770.912968,3.8,1
10102100911,0.1495,Queanbeyan,1561.462568,3.4,1
10102100912,0.1142,Queanbeyan,955.4350332,4.1,1
10102100913,0.2618,Queanbeyan,974.5827148,4.1,1
