SA1_MAINCODE_2016,Area (sq km),Nearest Centrelink office,Distance (km),Walk time (min),Transit time (min),Wait time (min),Total travel time (min),Number of transfers,Travel time decile
50603112438,0.2675,Cannington,1854.638264,0,9,0,9,0,1
50704117702,0.1496,Fremantle,4955.111137,0,21,0,21,0,4
11703133537,0.0491,Redfern,473.5171478,0,4,0,4,0,1
10704154906,0.2019,Wollongong,1419.569356,1,7,0,8,0,1
11703133532,0.067,Redfern,46.61462389,1,0,0,1,0,1
10602111411,0.4563,Maitland,2336.566233,1,12,0,13,0,1
10602111708,48.3206,Maitland,10345.7179,1,41,3,45,1,9
10602111732,2.1863,Maitland,8762.685613,1,25,15,41,1,9
50603112921,0.1832,Cannington,3209.752298,1,13,0,14,0,1
10201104030,0.1571,Ettalong,434.6098852,1,4,0,5,0,1
20503109348,1.14,Wonthaggi,23831.44164,1,38,0,39,0,8
31106133109,0.2161,Woodridge,68.95056449,1,0,0,1,0,1
12401145207,0.3456,Katoomba,1549.194988,1,9,0,10,0,1
10602111702,0.3684,Maitland,4111.833374,1,20,0,21,0,4
30901122521,0.0978,Palm Beach,3561.928814,1,8,0,9,0,1
10703114203,0.5169,Shellharbour,109.6761194,1,0,0,1,0,1
30803121405,0.3466,Rockhampton,1973.596932,1,11,0,12,0,1
10704114635,0.293,Wollongong,3580.877858,1,13,0,14,0,2
20703116214,0.1328,Box Hill,3455.927074,1,19,0,20,0,3
10201104011,0.1489,Ettalong,910.6833763,1,3,0,4,0,1
11904138139,0.0883,Rockdale,105.0339742,1,0,0,1,0,1
12302144018,0.2856,Ingleburn,50.19799084,1,0,0,1,0,1
12401144907,0.3416,Katoomba,9343.844853,1,28,0,29,0,6
30203103602,0.1618,Nundah,7386.897053,1,32,0,33,0,7
31501140309,1.0172,Western Cape,228.951066,1,0,0,1,0,1
10701154625,0.1949,Wollongong,6052.60383,1,16,0,17,0,2
50603112918,0.1353,Cannington,5466.790691,1,20,1,22,1,4
80104103713,0.1364,Gungahlin,2647.692148,1,8,0,9,0,1
10601110714,0.3985,Cessnock,17519.15963,1,94,4,99,1,10
21501138618,0.4932,Ararat,93.04582331,1,0,0,1,0,1
31305138034,0.1635,Margate,1833.30108,1,22,0,23,0,4
10704154826,0.0526,Wollongong,1278.680196,1,6,0,8,0,1
20604112224,0.1075,South Melbourne,2057.30368,1,15,0,16,0,2
12102157714,0.0231,Hornsby,67.90772178,1,0,0,1,0,1
21305136817,0.219,Werribee,102.4555222,1,0,0,1,0,1
10704114621,0.1245,Wollongong,3378.283082,1,16,0,18,0,3
21103126629,0.4226,Ringwood,80.31962386,1,0,0,1,0,1
11903137021,0.0798,Hurstville,2958.56388,1,11,0,12,0,1
10201104006,0.215,Ettalong,809.8304919,1,2,0,3,0,1
