SA1_MAINCODE_2016,Distance (km),February (min),May (min),Change February to May (min)
80101100101,7.108,18,28,10
80101100102,6.256,16,23,7
80101100103,7.186,15,16,1
80101100104,6.339,17,19,2
80101100105,7.563,17,19,2
80101100106,6.645,21,23,2
80101100201,9.096,36,30,-6
80101100202,14.89,35,34,-1
80101100203,10.344,38,32,-6
80101100204,10.143,36,30,-6
80101100205,12.858,62,58,-4
80101100206,8.835,32,26,-6
80101100208,8.93,33,27,-6
80101100209,8.835,33,27,-6
80101100210,11.799,50,43,-7
80101100211,10.467,40,34,-6
80101100212,10.984,39,36,-3
80101100213,9.189,31,25,-6
80101100214,9.613,33,27,-6
80101100215,9.004,29,23,-6
80101100216,9.234,32,26,-6
80101100217,9.82,36,30,-6
80101100301,7.184,32,28,-4
80101100304,12.625,43,34,-9
80101100306,7.926,33,28,-5
80101100307,8.228,36,32,-4
80101100308,8.606,38,25,-13
80101100309,8.285,37,32,-5
80101100310,13.118,44,34,-10
80101100311,12.963,42,33,-9
80101100312,8.219,37,32,-5
80101100313,12.382,40,28,-12
80101100314,7.26,33,29,-4
80101100315,9.214,39,33,-6
80101100316,6.516,32,28,-4
80101100317,7.241,33,29,-4
80101100318,6.246,26,22,-4
80101100319,9.073,35,30,-5
80101100320,6.897,29,25,-4
80101100401,19.894,55,64,9
80101100402,21.944,62,65,3
80101100403,19.22,54,59,5
80101100404,18.881,52,64,12
80101100405,21.722,60,59,-1
80101100406,20.847,57,62,5
80101100408,20.061,54,65,11
80101100409,18.764,55,69,14
80101100501,9.344,24,26,2
80101100502,8.262,20,21,1
80101100503,8.317,21,23,2
80101100504,7.817,18,19,1
80101100505,8.142,22,23,1
80101100506,7.943,20,21,1
80101100507,8.262,21,22,1
80101100508,8.784,21,23,2
80101100509,8.983,20,23,3
80101100602,19.638,62,53,-9
80101100604,21.612,62,56,-6
80101100605,22.775,66,58,-8
80101100606,23.381,74,61,-13
80101100607,23.061,70,58,-12
80101100608,23.305,73,57,-16
80101100609,22.992,69,57,-12
80101100610,22.001,66,56,-10
80101100611,20.798,57,50,-7
80101100612,20.571,58,51,-7
80101100613,21.973,66,51,-15
80101100614,20.705,60,54,-6
80101100615,20.04,55,48,-7
80101100616,21.601,60,53,-7
80101100617,20.221,54,48,-6
80101100618,22.605,64,58,-6
80101100619,22.116,64,56,-8
80101100620,22.031,63,55,-8
80101100621,21.682,72,65,-7
80101100622,22.104,63,56,-7
80101100623,22.713,66,58,-8
80101100701,14.238,54,43,-11
80101100702,14.94,54,41,-13
80101100703,13.691,49,48,-1
80101100704,15.793,51,44,-7
80101100705,13.988,47,52,5
80101100706,16.756,53,38,-15
80101100707,18.562,62,44,-18
80101100708,14.828,49,53,4
80101100709,14.221,51,52,1
80101100710,18.837,63,46,-17
80101100711,21.56,64,51,-13
80101100712,14.155,45,58,13
80101100713,15.396,55,55,0
80101100714,15.394,50,47,-3
80101100801,13.065,47,35,-12
80101100802,13.198,49,41,-8
80101100803,13.841,51,45,-6
80101100804,12.925,45,33,-12
80101100805,10.959,46,41,-5
80101100806,12.869,46,40,-6
80101100807,12.891,46,40,-6
80101100808,12.653,47,35,-12
80101100809,12.796,48,37,-11
80101100810,13.143,42,36,-6
80101100811,12.812,44,39,-5
80101100812,12.652,43,37,-6
80101100901,17.546,51,64,13
80101100902,16.433,48,50,2
80101100903,16.787,48,54,6
80101100904,19.49,59,56,-3
80101100905,19.451,58,57,-1
80101100906,16.385,55,54,-1
80101100907,17.033,49,55,6
80101100908,19.674,55,59,4
80101100909,18.816,52,57,5
80101100910,17.126,46,49,3
80101101001,24.274,62,61,-1
80101101002,22.182,62,58,-4
80101101003,21.962,58,57,-1
80101101004,21.038,57,57,0
80101101005,21.15,59,57,-2
80101101101,12.659,41,42,1
80101101102,13.434,40,39,-1
80101101103,12.143,38,41,3
80101101104,12.55,35,36,1
80101101105,11.472,35,38,3
80101101106,11.027,33,32,-1
80101101107,10.993,36,37,1
80101101108,12.856,37,36,-1
80101101109,11.246,33,38,5
80101101110,12.058,36,37,1
80101101202,16.39,67,68,1
80101101203,24.951,99,NA,NA
80101101301,12.709,42,46,4
80101101302,12.55,46,42,-4
80101101303,16.002,55,47,-8
80101101304,11.278,38,40,2
80101101305,13.751,52,48,-4
80101101306,15.781,55,48,-7
80101101307,11.491,40,45,5
80101101308,21.379,66,44,-22
80101101309,13.221,48,48,0
80101101310,13.259,48,47,-1
80101101401,14.433,50,44,-6
80101101402,14.229,48,42,-6
80101101403,17.113,57,49,-8
80101101404,16.217,50,52,2
80101101405,14.563,50,52,2
80101101406,14.663,54,48,-6
80101101407,13.722,41,35,-6
80101101501,19.189,57,58,1
80101101502,16.886,56,49,-7
80101101503,18.387,53,52,-1
80101101504,16.267,48,42,-6
80101101505,16.482,56,49,-7
80101101506,14.118,44,38,-6
80101101508,14.621,44,38,-6
80101101509,16.406,55,44,-11
80101101510,18.149,52,52,0
80101101511,17.643,51,52,1
80101101512,16.556,52,46,-6
80101101513,16.134,47,40,-7
80101101514,16.382,48,40,-8
80101101515,16.177,48,41,-7
80101101601,8.642,30,43,13
80101101602,8.239,38,36,-2
80101101603,13.737,51,37,-14
80101101604,7.418,30,35,5
80101101605,6.961,24,31,7
80101101606,7.955,26,44,18
80101101607,7.512,29,34,5
80101101608,7.391,30,36,6
80101101609,9.295,35,31,-4
80101101610,15.383,40,30,-10
80101101611,15.864,45,35,-10
80101101612,9.439,32,44,12
80101101613,10.208,34,39,5
80101101614,8.287,30,48,18
80101101615,9.373,31,43,12
80101101616,9.846,34,46,12
80101101617,9.77,36,48,12
80101101618,9.299,32,45,13
80101101619,7.87,33,38,5
80101101701,14.911,45,39,-6
80101101702,15.523,46,49,3
80101101703,14.854,53,47,-6
80101101704,14.295,46,40,-6
80101101705,15.412,51,45,-6
80101101706,19.019,54,63,9
