seconds,m,minutes,hours,sa1_maincode_2016,SA2_NAME16,SA3_NAME16,SA4_NAME16
7807,98946,130.1166667,2.168611111,10201102801,Avoca Beach - Copacabana,Gosford,Central Coast
8276,98463,137.9333333,2.298888889,10201102802,Avoca Beach - Copacabana,Gosford,Central Coast
8176,101218,136.2666667,2.271111111,10201102803,Avoca Beach - Copacabana,Gosford,Central Coast
7923,99763,132.05,2.200833333,10201102804,Avoca Beach - Copacabana,Gosford,Central Coast
8032,99898,133.8666667,2.231111111,10201102805,Avoca Beach - Copacabana,Gosford,Central Coast
8041,100248,134.0166667,2.233611111,10201102806,Avoca Beach - Copacabana,Gosford,Central Coast
8540,103597,142.3333333,2.372222222,10201102807,Avoca Beach - Copacabana,Gosford,Central Coast
8280,100309,138,2.3,10201102808,Avoca Beach - Copacabana,Gosford,Central Coast
8046,100676,134.1,2.235,10201102809,Avoca Beach - Copacabana,Gosford,Central Coast
9868,113004,164.4666667,2.741111111,10201102810,Avoca Beach - Copacabana,Gosford,Central Coast
9147,112838,152.45,2.540833333,10201102811,Avoca Beach - Copacabana,Gosford,Central Coast
8632,107662,143.8666667,2.397777778,10201102812,Avoca Beach - Copacabana,Gosford,Central Coast
9050,112077,150.8333333,2.513888889,10201102813,Avoca Beach - Copacabana,Gosford,Central Coast
8696,108164,144.9333333,2.415555556,10201102814,Avoca Beach - Copacabana,Gosford,Central Coast
8730,108709,145.5,2.425,10201102815,Avoca Beach - Copacabana,Gosford,Central Coast
9189,108666,153.15,2.5525,10201102816,Avoca Beach - Copacabana,Gosford,Central Coast
7606,98691,126.7666667,2.112777778,10201102817,Avoca Beach - Copacabana,Gosford,Central Coast
8867,106841,147.7833333,2.463055556,10201102818,Avoca Beach - Copacabana,Gosford,Central Coast
9387,95887,156.45,2.6075,10201102901,Box Head - MacMasters Beach,Gosford,Central Coast
9441,105503,157.35,2.6225,10201102902,Box Head - MacMasters Beach,Gosford,Central Coast
6807,89749,113.45,1.890833333,10201102903,Box Head - MacMasters Beach,Gosford,Central Coast
6739,89210,112.3166667,1.871944444,10201102904,Box Head - MacMasters Beach,Gosford,Central Coast
6876,88549,114.6,1.91,10201102905,Box Head - MacMasters Beach,Gosford,Central Coast
7966,99816,132.7666667,2.212777778,10201102906,Box Head - MacMasters Beach,Gosford,Central Coast
6273,85336,104.55,1.7425,10201102907,Box Head - MacMasters Beach,Gosford,Central Coast
6546,85054,109.1,1.818333333,10201102908,Box Head - MacMasters Beach,Gosford,Central Coast
6190,84541,103.1666667,1.719444444,10201102909,Box Head - MacMasters Beach,Gosford,Central Coast
6967,93199,116.1166667,1.935277778,10201102910,Box Head - MacMasters Beach,Gosford,Central Coast
7695,97456,128.25,2.1375,10201102911,Box Head - MacMasters Beach,Gosford,Central Coast
7627,96076,127.1166667,2.118611111,10201102912,Box Head - MacMasters Beach,Gosford,Central Coast
8997,102299,149.95,2.499166667,10201102913,Box Head - MacMasters Beach,Gosford,Central Coast
7655,98659,127.5833333,2.126388889,10201102914,Box Head - MacMasters Beach,Gosford,Central Coast
7309,96753,121.8166667,2.030277778,10201102915,Box Head - MacMasters Beach,Gosford,Central Coast
7234,96660,120.5666667,2.009444444,10201102916,Box Head - MacMasters Beach,Gosford,Central Coast
9017,104666,150.2833333,2.504722222,10201102917,Box Head - MacMasters Beach,Gosford,Central Coast
9089,103765,151.4833333,2.524722222,10201102918,Box Head - MacMasters Beach,Gosford,Central Coast
6598,87646,109.9666667,1.832777778,10201102919,Box Head - MacMasters Beach,Gosford,Central Coast
9104,100779,151.7333333,2.528888889,10201102921,Box Head - MacMasters Beach,Gosford,Central Coast
7150,96654,119.1666667,1.986111111,10201102922,Box Head - MacMasters Beach,Gosford,Central Coast
7141,94698,119.0166667,1.983611111,10201102923,Box Head - MacMasters Beach,Gosford,Central Coast
7519,95230,125.3166667,2.088611111,10201102924,Box Head - MacMasters Beach,Gosford,Central Coast
6680,90152,111.3333333,1.855555556,10201102925,Box Head - MacMasters Beach,Gosford,Central Coast
8248,85645,137.4666667,2.291111111,10201102926,Box Head - MacMasters Beach,Gosford,Central Coast
8626,98121,143.7666667,2.396111111,10201102927,Box Head - MacMasters Beach,Gosford,Central Coast
7801,99833,130.0166667,2.166944444,10201102928,Box Head - MacMasters Beach,Gosford,Central Coast
9991,102832,166.5166667,2.775277778,10201103002,Calga - Kulnura,Gosford,Central Coast
